date,ticker,gappctpoly,rsi14m,relvolpoly,gap_pct,change_open_pct,rvol
2024-09-30,AMD,-0.760572,70.269579,0.591522,,,
2024-09-30,NVDA,-2.545305,77.295918,0.700898,,,
2024-09-30,TSLA,-0.545189,86.883117,1.05259,,,
2024-10-01,AAPL,-1.493562,22.392638,1.148827,,,
2024-10-01,AMD,0.243784,38.450363,0.881941,,,
2024-10-01,NVDA,0.267622,35.537881,0.934104,,,
2024-10-01,TSLA,0.397508,28.026284,1.132121,,,
2024-10-02,AAPL,-0.141461,18.526025,0.595958,,,
2024-10-02,AMD,-0.27543,40.444756,0.716996,,,
2024-10-02,NVDA,-0.478632,34.888179,0.691545,,,
2024-10-02,TSLA,-4.057825,40.717438,1.207023,,,
2024-10-03,AAPL,-0.723168,55.460126,0.617316,,,
2024-10-03,AMD,-0.04381,84.962406,0.872798,,,
2024-10-03,NVDA,1.741691,74.891507,0.862117,,,
2024-10-03,TSLA,-1.823147,67.107195,1.032119,,,
2024-10-04,AAPL,0.988169,21.688368,0.67978,,,
2024-10-04,AMD,2.26159,69.477058,1.317757,,,
2024-10-04,NVDA,1.701262,36.458333,0.771068,,,
2024-10-04,TSLA,2.50561,62.039216,1.105393,,,
2024-10-07,AAPL,-1.014109,55.62083,0.718742,,,
2024-10-07,AMD,0.105325,40.101133,1.138911,,,
2024-10-07,NVDA,0.056036,60.261753,1.08947,,,
2024-10-07,TSLA,-0.431862,34.651748,0.873131,,,
2024-10-08,AAPL,1.17732,64.606699,0.579127,,,
2024-10-08,AMD,0.45622,34.667653,1.046298,,,
2024-10-08,NVDA,1.988725,60.338621,0.903402,,,
2024-10-08,TSLA,1.13358,31.438529,0.722666,,,
2024-10-09,AAPL,-0.239181,54.224943,0.611545,,,
2024-10-09,AMD,0.72338,21.231064,1.022253,,,
2024-10-09,NVDA,0.918053,21.512346,0.783112,,,
2024-10-09,TSLA,-0.278119,38.090667,0.849583,,,
2024-10-10,AAPL,-0.766751,46.00639,0.516189,,,
2024-10-10,AMD,-0.736756,43.697955,2.175888,,,
2024-10-10,NVDA,-0.557859,72.450327,0.787963,,,
2024-10-10,TSLA,0.315287,37.941539,1.056303,,,
2024-10-11,AAPL,0.113517,36.553882,0.588921,,,
2024-10-11,AMD,0.003045,53.358336,1.208309,,,
2024-10-11,NVDA,-0.593428,50.518995,0.571002,,,
2024-10-11,TSLA,-7.806676,48.299612,1.753583,,,
2024-10-14,AAPL,0.505383,70.850474,0.745588,,,
