date,ticker,gap_pct,change_open_pct,rsi14m,rvol
2023-11-29,NVDA,0.949374,0.949374,53.976818,0.596138
2023-11-29,TSLA,1.410506,1.410506,33.582496,0.917271
2023-11-30,AAPL,0.406611,0.406611,60.991717,0.431171
2023-11-30,AMD,0.589423,0.589423,50.905476,0.574354
2023-11-30,NVDA,0.353137,0.353137,52.645336,0.778463
2023-11-30,TSLA,0.782338,0.782338,72.101824,0.812399
2023-12-01,AAPL,-0.05791,-0.05791,60.281221,0.517549
2023-12-01,AMD,-0.668537,-0.668537,56.743127,0.545324
2023-12-01,NVDA,-0.436177,-0.436177,54.743644,0.68164
2023-12-01,TSLA,-2.082639,-2.082639,66.103471,0.83448
2023-12-04,AAPL,-0.59611,-0.59611,55.697138,0.529462
2023-12-04,AMD,-0.716698,-0.716698,44.847025,0.602408
2023-12-04,NVDA,-1.058484,-1.058484,43.024927,0.789401
2023-12-04,TSLA,-0.703429,-0.703429,45.843304,0.693206
2023-12-05,AAPL,0.464552,0.464552,60.668535,0.90949
2023-12-05,AMD,-0.480729,-0.480729,53.360392,0.606146
2023-12-05,NVDA,-0.626236,-0.626236,67.116831,0.673661
2023-12-05,TSLA,-0.619068,-0.619068,68.289603,0.970205
2023-12-06,AAPL,0.144763,0.144763,43.856792,0.493506
2023-12-06,AMD,1.419159,1.419159,48.276374,0.936097
2023-12-06,NVDA,1.142464,1.142464,38.290894,0.653765
2023-12-06,TSLA,1.558311,1.558311,46.109969,0.867932
2023-12-07,AAPL,0.171589,0.171589,34.049604,0.581606
2023-12-07,AMD,2.961822,2.961822,58.083575,1.828451
2023-12-07,NVDA,0.48788,0.48788,42.050882,0.589458
2023-12-07,TSLA,0.998454,0.998454,50.797121,0.748507
2023-12-08,AAPL,-0.149277,-0.149277,48.405846,0.631311
2023-12-08,AMD,0.646569,0.646569,61.316043,1.433143
2023-12-08,NVDA,-0.042922,-0.042922,43.595714,0.661758
2023-12-08,TSLA,-0.263765,-0.263765,42.488729,0.713387
2023-12-11,AAPL,-0.449645,-0.449645,43.110369,0.811022
2023-12-11,AMD,0.721378,0.721378,57.012636,1.486517
2023-12-11,NVDA,0.28207,0.28207,49.565986,0.953241
2023-12-11,TSLA,-0.008202,-0.008202,60.691681,0.661563
2023-12-12,AAPL,-0.098354,-0.098354,53.010217,0.582005
2023-12-12,AMD,-0.453835,-0.453835,52.430907,1.677856
2023-12-12,NVDA,0.263796,0.263796,52.716702,0.695515
2023-12-12,TSLA,0.308668,0.308668,48.543532,0.661017
2023-12-13,AAPL,0.549535,0.549535,67.52713,0.825779
2023-12-13,AMD,0.21074,0.21074,55.2035,0.933591
2023-12-13,NVDA,-0.276979,-0.276979,50.487674,0.799021
2023-12-13,TSLA,-1.160289,-1.160289,71.230254,0.937493
2023-12-14,AAPL,0.060618,0.060618,61.653829,0.874886
2023-12-14,AMD,0.209856,0.209856,59.517513,1.054202
2023-12-14,NVDA,0.555232,0.555232,63.995331,0.711865
2023-12-14,TSLA,0.685361,0.685361,60.919343,1.12316
2023-12-15,AAPL,-0.005048,-0.005048,57.030746,0.895909
2023-12-15,AMD,0.652174,0.652174,58.028774,0.938541
2023-12-15,NVDA,-0.111686,-0.111686,49.89406,0.818496
2023-12-15,TSLA,0.677156,0.677156,58.351025,0.789284
2023-12-18,AAPL,-0.592195,-0.592195,48.922443,0.664283
2023-12-18,AMD,0.280273,0.280273,31.893615,0.614358
